,Variable,Correlación 2021,Correlación 2024
0,Social support,0.7550102806864301,0.8097188498387079
1,Freedom to make life choices,0.6076782720347065,0.642552894466692
2,Generosity,-0.06388437664475562,0.13024681950539369
3,Log GDP per capita,0.7894458595937122,0.7660462926198609
4,Healthy life expectancy,0.7676366433932387,0.7575504018387731
5,Perceptions of corruption,0.4200033465581068,0.4513408800862662
